ratio 1,ratio 2,key,in_g_vs_s,p_value_g_vs_s,statistic_g_vs_s,in_h_vs_s,p_value_h_vs_s,statistic_h_vs_s,in_h_vs_g,p_value_h_vs_g,statistic_h_vs_g,presence_count
si_v,co_si,si_v||co_si,True,3.113465508499522e-09,0.0293581763234197,True,5.358495780482237e-06,0.0180839153829847,False,,,2
ba_ca,nd_y,ba_ca||nd_y,True,1.349537982555648e-09,0.0663280011171009,False,,,True,3.201313184103535e-32,0.0436827178482529,2
ti_cu,si_nd,ti_cu||si_nd,True,1.3521644896034498e-09,0.0641778136655664,False,,,True,1.1633318737795181e-26,0.0337580515590347,2
y_mn,nd_ni,y_mn||nd_ni,True,1.3526781349006124e-09,0.0602102522820937,False,,,True,2.154651603579706e-30,0.0382051984260499,2
sc_mn,nd_na,sc_mn||nd_na,True,1.3672426718093952e-09,0.0693718658223824,False,,,True,3.983795051012629e-37,0.0561044845413468,2
nd_na,si_nd,nd_na||si_nd,True,1.369783417336716e-09,0.0919560645087912,False,,,True,2.442819002347813e-35,0.0667524972027448,2
v_mn,si_nd,v_mn||si_nd,True,1.3727889181446274e-09,0.0630402422202653,False,,,True,2.179015749357183e-28,0.0349107771592855,2
si_mn,v_ti,si_mn||v_ti,True,1.375167007321483e-09,0.0334634181637066,True,0.0001200642430127,0.0135701591120658,False,,,2
cr_cu,si_nd,cr_cu||si_nd,True,1.3954746376097836e-09,0.0647962200555446,False,,,True,2.5583905017367963e-29,0.0380455148859393,2
zn_y,nd_y,zn_y||nd_y,True,1.420307667992169e-09,0.0647500753884336,False,,,True,1.203705195608687e-33,0.0462936148092309,2
na_mn,si_mn,na_mn||si_mn,True,2.2557228808812982e-09,0.0416006767370957,False,,,True,1.203826731687512e-38,0.0403605628911565,2
cr_y,nd_na,cr_y||nd_na,True,1.4686596011719407e-09,0.0690811133905097,False,,,True,6.957566988152697e-44,0.0677782102273309,2
na_ti,si_nd,na_ti||si_nd,True,1.4924401647337706e-09,0.0631386208282727,False,,,True,5.978561339071803e-35,0.044897379769711,2
v_ca,sc_nd,v_ca||sc_nd,True,1.6106814255710964e-09,0.0553063891641631,True,2.6531205820747988e-05,0.0232051305920484,False,,,2
si_mn,cr_na,si_mn||cr_na,True,1.639851297853176e-09,0.0386115903323301,False,,,True,1.603444856152466e-43,0.0422350687852018,2
na_cu,si_nd,na_cu||si_nd,True,1.757002422411465e-09,0.0632128957027102,False,,,True,1.0996292927820567e-27,0.0342768511954138,2
nd_ca,si_v,nd_ca||si_v,True,1.787104455902685e-09,0.0604663234179003,True,0.000203952172395,0.018993736548164,False,,,2
cr_ti,cr_y,cr_ti||cr_y,True,1.8145758102234367e-09,0.037867888197487,False,,,True,1.9379954789016472e-25,0.0216932642194472,2
nd_mn,nd_y,nd_mn||nd_y,True,1.9432076768487847e-09,0.07828856164775,False,,,True,7.6512290994790635e-31,0.0481568998864116,2
si_cu,sc_nd,si_cu||sc_nd,True,2.052120227856039e-09,0.0546975816027897,True,0.0002014785209318,0.0181572803205498,False,,,2
na_ca,si_nd,na_ca||si_nd,True,2.0833504448478203e-09,0.0622218259118797,False,,,True,1.2945914312423175e-36,0.0482042934354794,2
sc_ni,sc_nd,sc_ni||sc_nd,True,1.4361284425029743e-09,0.0543702583714364,True,0.0002188821777188,0.0170895203814211,False,,,2
